id,uid,name,parent,href,hierarchy,subcategories
MCO8937,,Flautas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/flautas/#CATEGORY_ID=MCO8937&S=hc_instrumentos-musicales,3,0
MCO442182,,Gaitas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-gaitas/#CATEGORY_ID=MCO442182&S=hc_instrumentos-musicales,3,0
MCO430939,,Kazoos,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-kazoos/#CATEGORY_ID=MCO430939&S=hc_instrumentos-musicales,3,0
MCO412663,,Melódicas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-melodicas/#CATEGORY_ID=MCO412663&S=hc_instrumentos-musicales,3,0
MCO413330,,Ocarinas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-ocarinas/#CATEGORY_ID=MCO413330&S=hc_instrumentos-musicales,3,0
MCO413308,,Quenas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-quenas/#CATEGORY_ID=MCO413308&S=hc_instrumentos-musicales,3,0
MCO4611,,Saxofones,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/saxofones/#CATEGORY_ID=MCO4611&S=hc_instrumentos-musicales,3,0
MCO429486,,Shofar,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-shofar/#CATEGORY_ID=MCO429486&S=hc_instrumentos-musicales,3,0
MCO442180,,Trombones,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-trombones/#CATEGORY_ID=MCO442180&S=hc_instrumentos-musicales,3,0
MCO3770,,Trompetas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/trompetas/#CATEGORY_ID=MCO3770&S=hc_instrumentos-musicales,3,0
MCO420183,,Tubas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-tubas/#CATEGORY_ID=MCO420183&S=hc_instrumentos-musicales,3,0
MCO3772,,Otros,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/otros/#CATEGORY_ID=MCO3772&S=hc_instrumentos-musicales,3,0
MCO434818,,Metrónomos,MCO1182,https://listado.mercadolibre.com.co/metronomos/#CATEGORY_ID=MCO434818&S=hc_instrumentos-musicales,2,0
MCO434816,,Micrófonos y Amplificadores,MCO1182,https://listado.mercadolibre.com.co/microfonos-amplificadores/#CATEGORY_ID=MCO434816&S=hc_instrumentos-musicales,2,5
MCO3011,,Amplificadores,MCO434816,https://listado.mercadolibre.com.co/instrumentos-musicales/amplificadores/#CATEGORY_ID=MCO3011&S=hc_instrumentos-musicales,3,0
MCO11904,,Micrófonos,MCO434816,https://listado.mercadolibre.com.co/instrumentos-musicales/microfonos/#CATEGORY_ID=MCO11904&S=hc_instrumentos-musicales,3,0
MCO442183,,Preamplificadores,MCO434816,https://listado.mercadolibre.com.co/microfonos-amplificadores-preamplificadores/#CATEGORY_ID=MCO442183&S=hc_instrumentos-musicales,3,0
MCO442184,,Soportes de Micrófono,MCO434816,https://listado.mercadolibre.com.co/microfonos-amplificadores-soportes-microfono/#CATEGORY_ID=MCO442184&S=hc_instrumentos-musicales,3,0
MCO442185,,Otros,MCO434816,https://listado.mercadolibre.com.co/microfonos-amplificadores-otros/#CATEGORY_ID=MCO442185&S=hc_instrumentos-musicales,3,0
MCO434927,,Parlantes,MCO1182,https://listado.mercadolibre.com.co/parlantes/#CATEGORY_ID=MCO434927&S=hc_instrumentos-musicales,2,0
MCO442131,,Partituras y Letras,MCO1182,https://listado.mercadolibre.com.co/partituras-letras/#CATEGORY_ID=MCO442131&S=hc_instrumentos-musicales,2,5
MCO442187,,Atriles,MCO442131,https://listado.mercadolibre.com.co/partituras-letras-atriles/#CATEGORY_ID=MCO442187&S=hc_instrumentos-musicales,3,0
MCO434797,,Batutas,MCO442131,https://listado.mercadolibre.com.co/partituras-letras-batutas/#CATEGORY_ID=MCO434797&S=hc_instrumentos-musicales,3,0
MCO442188,,Letras,MCO442131,https://listado.mercadolibre.com.co/partituras-letra/#CATEGORY_ID=MCO442188&S=hc_instrumentos-musicales,3,0
